13-4,13-4,9-31,9-31,A/B,A/B,58-52,58-52,67-63,67-63,D/E,D/E
309,-47,82,161,3.768292682926829,-0.2919254658385093,-22,70,-25,31,0.88,2.2580645161290325
823,0,156,430,5.2756410256410255,0.0,-112,148,-101,64,1.108910891089109,2.3125
1042,-138,255,504,4.086274509803921,-0.27380952380952384,-83,185,-86,75,0.9651162790697675,2.466666666666667
1078,-308,355,573,3.036619718309859,-0.537521815008726,-94,197,-111,62,0.8468468468468469,3.1774193548387095
961,-224,249,498,3.859437751004016,-0.4497991967871486,-90,193,-92,59,0.9782608695652174,3.2711864406779663
852,-160,193,473,4.414507772020725,-0.3382663847780127,-69,199,-65,85,1.0615384615384615,2.3411764705882354
819,-97,163,397,5.024539877300613,-0.24433249370277077,-77,149,-72,65,1.0694444444444444,2.292307692307692
687,-79,148,303,4.641891891891892,-0.2607260726072607,-54,103,-53,23,1.0188679245283019,4.478260869565218
775,-65,176,349,4.403409090909091,-0.18624641833810887,-67,96,-66,23,1.0151515151515151,4.173913043478261
847,48,156,438,5.42948717948718,0.1095890410958904,-94,108,-81,20,1.1604938271604939,5.4
840,21,170,423,4.9411764705882355,0.04964539007092199,-100,120,-91,33,1.098901098901099,3.6363636363636362
679,-80,156,257,4.352564102564102,-0.311284046692607,-48,79,-48,12,1.0,6.583333333333333
707,-99,156,272,4.532051282051282,-0.3639705882352941,-54,91,-54,14,1.0,6.5
989,-196,311,549,3.180064308681672,-0.3570127504553734,-56,281,-72,128,0.7777777777777778,2.1953125
924,-174,228,477,4.052631578947368,-0.36477987421383645,-62,225,-63,114,0.9841269841269841,1.9736842105263157
850,-145,262,458,3.2442748091603053,-0.3165938864628821,-48,190,-60,87,0.8,2.1839080459770117
592,-84,132,229,4.484848484848484,-0.36681222707423583,-41,90,-42,23,0.9761904761904762,3.9130434782608696
671,-99,151,302,4.443708609271523,-0.32781456953642385,-50,133,-51,43,0.9803921568627451,3.0930232558139537
766,-209,220,334,3.481818181818182,-0.625748502994012,-68,103,-79,24,0.8607594936708861,4.291666666666667
825,-195,222,370,3.7162162162162162,-0.527027027027027,-83,153,-93,70,0.8924731182795699,2.1857142857142855
692,13,142,315,4.873239436619718,0.04126984126984127,-75,65,-67,-3,1.1194029850746268,-21.666666666666668
715,-25,113,278,6.327433628318584,-0.08992805755395683,-78,59,-66,-3,1.1818181818181819,-19.666666666666668
734,-32,171,332,4.292397660818714,-0.0963855421686747,-69,72,-68,-1,1.0147058823529411,-72.0
732,88,130,353,5.630769230769231,0.24929178470254956,-77,65,-71,-7,1.0845070422535212,-9.285714285714286
756,19,141,391,5.361702127659575,0.04859335038363171,-78,85,-71,1,1.0985915492957747,85.0
684,-60,122,297,5.60655737704918,-0.20202020202020202,-75,99,-66,33,1.1363636363636365,3.0
656,-164,170,289,3.8588235294117648,-0.5674740484429066,-53,107,-57,24,0.9298245614035088,4.458333333333333
865,-148,238,513,3.634453781512605,-0.2884990253411306,-99,231,-101,125,0.9801980198019802,1.848
856,-121,244,541,3.5081967213114753,-0.22365988909426987,-121,252,-118,134,1.0254237288135593,1.8805970149253732
636,-55,110,269,5.781818181818182,-0.20446096654275092,-66,85,-59,5,1.11864406779661,17.0
622,-113,167,348,3.7245508982035926,-0.32471264367816094,-73,117,-76,42,0.9605263157894737,2.7857142857142856
677,-47,144,286,4.701388888888889,-0.16433566433566432,-66,90,-62,5,1.064516129032258,18.0
645,-40,172,356,3.75,-0.11235955056179775,-85,171,-80,80,1.0625,2.1375
596,-79,150,247,3.973333333333333,-0.31983805668016196,-56,73,-56,2,1.0,36.5
1045,164,58,485,18.017241379310345,0.33814432989690724,-155,137,-113,8,1.3716814159292035,17.125
1033,132,88,510,11.738636363636363,0.25882352941176473,-143,113,-104,-18,1.375,-6.277777777777778
1017,-391,566,503,1.7968197879858658,-0.7773359840954275,-31,307,-93,187,0.3333333333333333,1.641711229946524
100,-30,20,76,5.0,-0.39473684210526316,-15,25,-13,14,1.1538461538461537,1.7857142857142858
774,-226,251,286,3.0836653386454183,-0.7902097902097902,-18,116,-37,18,0.4864864864864865,6.444444444444445
849,-118,222,409,3.824324324324324,-0.2885085574572127,-59,152,-65,51,0.9076923076923077,2.980392156862745
701,-155,231,244,3.034632034632035,-0.6352459016393442,-14,43,-30,-33,0.4666666666666667,-1.303030303030303
612,-168,146,299,4.191780821917808,-0.5618729096989966,-51,11,-48,-66,1.0625,-0.16666666666666666
658,-134,158,373,4.1645569620253164,-0.35924932975871315,-63,138,-62,67,1.0161290322580645,2.0597014925373136
836,-71,160,403,5.225,-0.1761786600496278,-121,91,-111,7,1.09009009009009,13.0
802,12,103,418,7.786407766990291,0.028708133971291867,-129,96,-105,28,1.2285714285714286,3.4285714285714284
831,-101,225,383,3.6933333333333334,-0.26370757180156656,-98,118,-101,26,0.9702970297029703,4.538461538461538
774,-266,291,479,2.6597938144329896,-0.5553235908141962,-63,217,-84,128,0.75,1.6953125
250,28,13,132,19.23076923076923,0.21212121212121213,-37,38,-27,3,1.3703703703703705,12.666666666666666
750,-184,260,392,2.8846153846153846,-0.46938775510204084,-67,152,-79,57,0.8481012658227848,2.6666666666666665
730,-67,175,347,4.171428571428572,-0.1930835734870317,-57,89,-55,5,1.0363636363636364,17.8
759,-72,168,376,4.517857142857143,-0.19148936170212766,-71,103,-64,6,1.109375,17.166666666666668
350,-60,77,180,4.545454545454546,-0.3333333333333333,-28,59,-27,18,1.037037037037037,3.2777777777777777
771,-107,165,349,4.672727272727273,-0.30659025787965616,-67,86,-68,-16,0.9852941176470589,-5.375
727,-190,256,451,2.83984375,-0.4212860310421286,-73,187,-84,102,0.8690476190476191,1.8333333333333333
678,-80,59,326,11.491525423728813,-0.24539877300613497,-75,93,-55,6,1.3636363636363635,15.5
704,-71,134,343,5.253731343283582,-0.20699708454810495,-64,98,-59,10,1.0847457627118644,9.8
479,-100,147,200,3.258503401360544,-0.5,-42,67,-46,10,0.9130434782608695,6.7
483,-82,140,232,3.45,-0.35344827586206895,-36,73,-40,10,0.9,7.3
481,-81,140,235,3.4357142857142855,-0.3446808510638298,-40,65,-44,4,0.9090909090909091,16.25
518,-97,144,229,3.5972222222222223,-0.42358078602620086,-49,83,-52,32,0.9423076923076923,2.59375
529,-87,151,238,3.5033112582781456,-0.36554621848739494,-50,69,-52,14,0.9615384615384616,4.928571428571429
527,-50,127,225,4.149606299212598,-0.2222222222222222,-50,69,-47,1,1.0638297872340425,69.0
657,-204,194,293,3.38659793814433,-0.6962457337883959,-32,116,-46,26,0.6956521739130435,4.461538461538462
684,-182,181,359,3.7790055248618786,-0.5069637883008357,-45,137,-52,35,0.8653846153846154,3.914285714285714
838,-122,223,418,3.757847533632287,-0.291866028708134,-71,168,-76,79,0.9342105263157895,2.1265822784810124
912,-131,246,428,3.707317073170732,-0.3060747663551402,-73,181,-83,81,0.8795180722891566,2.234567901234568
550,-230,221,197,2.48868778280543,-1.16751269035533,-24,107,-49,44,0.4897959183673469,2.4318181818181817
342,-83,88,172,3.8863636363636362,-0.48255813953488375,-30,73,-31,23,0.967741935483871,3.1739130434782608
336,-63,95,163,3.536842105263158,-0.38650306748466257,-36,77,-37,35,0.972972972972973,2.2
343,-77,83,209,4.132530120481928,-0.3684210526315789,-35,91,-34,38,1.0294117647058822,2.3947368421052633
447,-50,102,182,4.382352941176471,-0.27472527472527475,-46,51,-45,-2,1.0222222222222221,-25.5
499,-67,130,245,3.8384615384615386,-0.27346938775510204,-49,65,-49,7,1.0,9.285714285714286
1139,-175,265,680,4.2981132075471695,-0.25735294117647056,-110,336,-108,173,1.0185185185185186,1.9421965317919074
1024,-232,363,469,2.8209366391184574,-0.4946695095948827,-69,193,-93,59,0.7419354838709677,3.2711864406779663
376,-8,62,205,6.064516129032258,-0.03902439024390244,-43,61,-36,21,1.1944444444444444,2.9047619047619047
376,-36,99,207,3.797979797979798,-0.17391304347826086,-41,75,-41,39,1.0,1.9230769230769231
398,-13,74,182,5.378378378378378,-0.07142857142857142,-41,50,-36,8,1.1388888888888888,6.25
732,59,118,381,6.203389830508475,0.15485564304461943,-113,134,-93,41,1.2150537634408602,3.268292682926829
599,-91,131,284,4.572519083969466,-0.3204225352112676,-63,95,-62,10,1.0161290322580645,9.5
610,25,38,307,16.05263157894737,0.08143322475570032,-93,114,-71,34,1.3098591549295775,3.3529411764705883
603,-34,136,305,4.4338235294117645,-0.11147540983606558,-80,129,-76,58,1.0526315789473684,2.2241379310344827
599,-27,124,274,4.830645161290323,-0.09854014598540146,-68,97,-61,17,1.1147540983606556,5.705882352941177
675,-167,244,353,2.7663934426229506,-0.4730878186968839,-51,167,-64,67,0.796875,2.4925373134328357
609,-104,166,302,3.6686746987951806,-0.3443708609271523,-59,123,-58,38,1.0172413793103448,3.236842105263158
708,-153,200,335,3.54,-0.45671641791044776,-65,108,-70,13,0.9285714285714286,8.307692307692308
678,-144,191,307,3.549738219895288,-0.46905537459283386,-65,112,-68,22,0.9558823529411765,5.090909090909091
699,-127,191,326,3.6596858638743455,-0.3895705521472393,-70,104,-71,9,0.9859154929577465,11.555555555555555
292,-40,65,155,4.492307692307692,-0.25806451612903225,-37,77,-36,44,1.0277777777777777,1.75
152,-19,33,58,4.606060606060606,-0.3275862068965517,-11,15,-11,2,1.0,7.5
190,0,45,82,4.222222222222222,0.0,-17,23,-16,2,1.0625,11.5
185,-15,47,96,3.9361702127659575,-0.15625,-18,29,-18,12,1.0,2.4166666666666665
435,-75,110,172,3.9545454545454546,-0.436046511627907,-35,50,-38,3,0.9210526315789473,16.666666666666668
448,-85,122,185,3.6721311475409837,-0.4594594594594595,-36,57,-39,4,0.9230769230769231,14.25
841,-173,233,299,3.609442060085837,-0.5785953177257525,-65,116,-74,14,0.8783783783783784,8.285714285714286
918,-146,266,386,3.4511278195488724,-0.37823834196891193,-82,130,-86,3,0.9534883720930233,43.333333333333336
801,-234,254,301,3.1535433070866143,-0.7774086378737541,-65,128,-79,26,0.8227848101265823,4.923076923076923
1000,-183,307,352,3.257328990228013,-0.5198863636363636,-87,171,-92,36,0.9456521739130435,4.75
948,-76,255,394,3.7176470588235295,-0.19289340101522842,-94,124,-89,12,1.0561797752808988,10.333333333333334
755,-222,175,411,4.314285714285714,-0.5401459854014599,-77,179,-74,66,1.0405405405405406,2.712121212121212
711,-224,167,350,4.25748502994012,-0.64,-51,159,-58,62,0.8793103448275862,2.564516129032258
807,-23,151,473,5.344370860927152,-0.048625792811839326,-93,175,-77,71,1.2077922077922079,2.464788732394366
555,-20,136,350,4.080882352941177,-0.05714285714285714,-64,164,-56,64,1.1428571428571428,2.5625
609,49,135,325,4.511111111111111,0.15076923076923077,-68,81,-58,10,1.1724137931034482,8.1
782,-4,45,400,17.377777777777776,-0.01,-140,118,-108,41,1.2962962962962963,2.8780487804878048
1178,-155,199,755,5.919597989949748,-0.2052980132450331,-141,285,-116,159,1.2155172413793103,1.7924528301886793
355,-27,75,183,4.733333333333333,-0.14754098360655737,-31,42,-30,3,1.0333333333333334,14.0
679,-29,139,350,4.884892086330935,-0.08285714285714285,-57,77,-52,3,1.0961538461538463,25.666666666666668
448,-49,89,216,5.033707865168539,-0.22685185185185186,-42,60,-38,5,1.105263157894737,12.0
436,-59,87,259,5.011494252873563,-0.2277992277992278,-40,93,-35,36,1.1428571428571428,2.5833333333333335
324,-32,96,159,3.375,-0.20125786163522014,-39,41,-38,12,1.0263157894736843,3.4166666666666665
299,-78,94,124,3.1808510638297873,-0.6290322580645161,-26,34,-29,4,0.896551724137931,8.5
264,-24,55,103,4.8,-0.23300970873786409,-24,32,-23,6,1.0434782608695652,5.333333333333333
269,-18,58,115,4.637931034482759,-0.1565217391304348,-23,48,-21,19,1.0952380952380953,2.526315789473684
282,-7,68,137,4.147058823529412,-0.051094890510948905,-23,52,-21,16,1.0952380952380953,3.25
374,-8,95,195,3.9368421052631577,-0.041025641025641026,-29,63,-29,14,1.0,4.5
